epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5863.93,1.4463,1.24562,0.00598,0.67881,0.64505,0.69052,0.39747,1.40595,1.1267,0.00695,0.000795954,0.000795954,0.000795954
62,5955,1.48249,1.27119,0.00614,0.67988,0.648,0.69359,0.40219,1.39345,1.13346,0.00689,0.000789628,0.000789628,0.000789628
63,6047.76,1.46124,1.25731,0.00598,0.68314,0.628,0.67968,0.38871,1.38607,1.16942,0.00679,0.000783231,0.000783231,0.000783231
64,6142.16,1.46256,1.26807,0.00599,0.69743,0.62342,0.69332,0.40335,1.38062,1.13213,0.00688,0.000776766,0.000776766,0.000776766
65,6237.18,1.43365,1.24555,0.00593,0.70511,0.63474,0.702,0.41337,1.33538,1.14901,0.00651,0.000770234,0.000770234,0.000770234
66,6332.84,1.44604,1.26976,0.00589,0.71492,0.63423,0.70378,0.41131,1.37465,1.12285,0.0067,0.000763637,0.000763637,0.000763637
67,6424.45,1.44525,1.25845,0.00584,0.73316,0.62703,0.71603,0.41445,1.36323,1.13095,0.00685,0.000756976,0.000756976,0.000756976
68,6518.14,1.44934,1.24713,0.00581,0.70031,0.63303,0.70658,0.41146,1.35861,1.12973,0.00658,0.000750252,0.000750252,0.000750252
69,6611.99,1.44548,1.24701,0.00586,0.70447,0.63997,0.71174,0.41553,1.35227,1.1227,0.00664,0.000743468,0.000743468,0.000743468
70,6706.93,1.43718,1.25337,0.00576,0.70378,0.63544,0.70052,0.41053,1.35634,1.12182,0.0064,0.000736625,0.000736625,0.000736625
71,6801.48,1.42667,1.25687,0.00588,0.7048,0.64985,0.71387,0.42283,1.32262,1.12308,0.00625,0.000729725,0.000729725,0.000729725
72,6896.64,1.4448,1.25013,0.00579,0.71962,0.63544,0.70407,0.4132,1.33662,1.12462,0.00647,0.00072277,0.00072277,0.00072277
73,6990.99,1.44788,1.24069,0.00585,0.70415,0.63844,0.70217,0.41317,1.3641,1.12005,0.0064,0.000715761,0.000715761,0.000715761
